"filename", "language", "PHP", "CSS", "HTML", "JavaScript", "SVG", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\trodi\required\script.js", "JavaScript", 0, 0, 0, 35, 0, 0, 5, 13, 53
"c:\xampp\htdocs\trodi\required\search.css", "CSS", 0, 44, 0, 0, 0, 0, 8, 11, 63
"c:\xampp\htdocs\trodi\required\styles.css", "CSS", 0, 312, 0, 0, 0, 0, 28, 68, 408
"c:\xampp\htdocs\trodi\required\upload.css", "CSS", 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\xampp\htdocs\trodi\save_email.php", "PHP", 14, 0, 0, 0, 0, 0, 6, 5, 25
"c:\xampp\htdocs\trodi\search.php", "PHP", 131, 0, 0, 0, 0, 0, 14, 32, 177
"c:\xampp\htdocs\trodi\sendMessage.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\xampp\htdocs\trodi\sesion.php", "PHP", 97, 0, 0, 0, 0, 0, 7, 23, 127
"c:\xampp\htdocs\trodi\tutorial.php", "PHP", 121, 0, 0, 0, 0, 0, 7, 41, 169
"c:\xampp\htdocs\trodi\tutorial2.php", "PHP", 256, 0, 0, 0, 0, 0, 26, 60, 342
"c:\xampp\htdocs\trodi\tutoriales\Descubre-la-Magia-de-Cusco-en-un-D-a.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 20, 88
"c:\xampp\htdocs\trodi\tutoriales\Reconocer-distintos-tipos-de-arte.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 20, 88
"c:\xampp\htdocs\trodi\tutoriales\styles.css", "CSS", 0, 116, 0, 0, 0, 0, 4, 17, 137
"c:\xampp\htdocs\trodi\tutoriales\tutorial-numero-1.php", "PHP", 145, 0, 0, 0, 0, 0, 0, 14, 159
"c:\xampp\htdocs\trodi\tutoriales\tutorial-numero-2.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 19, 87
"c:\xampp\htdocs\trodi\upload_img.php", "PHP", 153, 0, 0, 0, 0, 0, 15, 32, 200
"c:\xampp\htdocs\trodi\video.php", "PHP", 117, 0, 0, 0, 0, 0, 11, 39, 167
"c:\xampp\htdocs\trodi\video\CUSCO-Fotograf-a-de-blanco-y-negro-a-color.php", "PHP", 60, 0, 0, 0, 0, 0, 7, 20, 87
"c:\xampp\htdocs\trodi\video\De-blanco-y-negro-a-Color-Fotograf-as-de-Martin-Chambi-Cusco-.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 18, 86
"c:\xampp\htdocs\trodi\video\Hackeando-Android-Control-total-a-trav-s-de-Wi-Fi-con-ADB.php", "PHP", 60, 0, 0, 0, 0, 0, 7, 18, 85
"c:\xampp\htdocs\trodi\video\Machu-Picchu-Explicaci-n-historia-construcci-n-y-datos-curiosos.php", "PHP", 60, 0, 0, 0, 0, 0, 7, 18, 85
"c:\xampp\htdocs\trodi\video\Martin-Chambi-Cusco-fotograf-a-de-blanco-y-negro-a-color.php", "PHP", 60, 0, 0, 0, 0, 0, 7, 18, 85
"c:\xampp\htdocs\trodi\video\Piped-Redirects-Alternativa-a-YouTube.php", "PHP", 60, 0, 0, 0, 0, 0, 7, 18, 85
"c:\xampp\htdocs\trodi\video\Prueba-de-funcionamiento-de-publicaciones.php", "PHP", 49, 0, 0, 0, 0, 0, 7, 14, 70
"c:\xampp\htdocs\trodi\video\SH-AMBKOR-HOY-HA-SALIDO-EL-SOL-COVER-Erick.php", "PHP", 49, 0, 0, 0, 0, 0, 7, 14, 70
"c:\xampp\htdocs\trodi\video\SH-COVER-Solo-se-trata-de-prosperar.php", "PHP", 60, 0, 0, 0, 0, 0, 7, 18, 85
"c:\xampp\htdocs\trodi\video\plantilla.php", "PHP", 85, 0, 0, 0, 0, 0, 7, 18, 110
"c:\xampp\htdocs\trodi\video\styles.css", "CSS", 0, 116, 0, 0, 0, 0, 4, 17, 137
"c:\xampp\htdocs\trodi\xampp_docs\applications.html", "HTML", 0, 0, 75, 0, 0, 0, 2, 3, 80
